draft_id,draft_slot,is_keeper,metadata,pick_no,picked_by,player_id,reactions,roster_id,round
1124840609828335617,3,,"{'first_name': 'Josh', 'injury_status': '', 'last_name': 'Jacobs', 'news_updated': '1724544624908', 'number': '8', 'player_id': '5850', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'GB', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '5'}",19,808950455362256896,5850,,7,3
1124840609828335617,4,,"{'first_name': 'Puka', 'injury_status': 'Questionable', 'last_name': 'Nacua', 'news_updated': '1723040421279', 'number': '17', 'player_id': '9493', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'LAR', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '1'}",20,562432915037523968,9493,,2,3
1124840609828335617,5,,"{'first_name': 'Drake', 'injury_status': '', 'last_name': 'London', 'news_updated': '1723239953599', 'number': '5', 'player_id': '8112', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'ATL', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '2'}",21,,8112,,5,3
1124840609828335617,6,,"{'first_name': 'Derrick', 'injury_status': '', 'last_name': 'Henry', 'news_updated': '1724246131213', 'number': '22', 'player_id': '3198', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'BAL', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '8'}",22,999433102126546944,3198,,6,3
1124840609828335617,7,,"{'first_name': 'Rachaad', 'injury_status': '', 'last_name': 'White', 'news_updated': '1724511320753', 'number': '1', 'player_id': '8136', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'TB', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '2'}",23,974106566116847616,8136,,4,3
1124840609828335617,8,,"{'first_name': 'Chris', 'injury_status': '', 'last_name': 'Olave', 'news_updated': '1724083848230', 'number': '12', 'player_id': '8144', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'NO', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '2'}",24,990112455994994688,8144,,1,3
1124840609828335617,8,,"{'first_name': 'Travis', 'injury_status': '', 'last_name': 'Kelce', 'news_updated': '1724361655957', 'number': '87', 'player_id': '1466', 'position': 'TE', 'sport': 'nfl', 'status': 'Active', 'team': 'KC', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '11'}",25,990112455994994688,1466,,1,4
1124840609828335617,7,,"{'first_name': 'Sam', 'injury_status': 'Questionable', 'last_name': 'LaPorta', 'news_updated': '1724192727861', 'number': '87', 'player_id': '10859', 'position': 'TE', 'sport': 'nfl', 'status': 'Active', 'team': 'DET', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '1'}",26,974106566116847616,10859,,4,4
1124840609828335617,6,,"{'first_name': 'Mike', 'injury_status': '', 'last_name': 'Evans', 'news_updated': '1724451910384', 'number': '13', 'player_id': '2216', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'TB', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '10'}",27,999433102126546944,2216,,6,4
1124840609828335617,5,,"{'first_name': 'James', 'injury_status': '', 'last_name': 'Cook', 'news_updated': '1724098848365', 'number': '4', 'player_id': '8138', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'BUF', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '2'}",28,,8138,,5,4
