draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.sport,metadata.status,metadata.team,metadata.team_abbr,metadata.team_changed_at,metadata.years_exp
1124840609828335617,3,,46,808950455362256896,5846,,7,6,DK,,Metcalf,1724592629868,14,5846,WR,nfl,Active,SEA,,,5
1124840609828335617,2,,47,1128031061746831360,5012,,8,6,Mark,Questionable,Andrews,1724100047167,89,5012,TE,nfl,Active,BAL,,,6
1124840609828335617,1,,48,999440800352219136,2449,,3,6,Stefon,,Diggs,1723968929270,1,2449,WR,nfl,Active,HOU,,,9
1124840609828335617,1,,49,999440800352219136,8151,,3,7,Kenneth,,Walker,1724362855631,9,8151,RB,nfl,Active,SEA,,,2
1124840609828335617,2,,50,1128031061746831360,1264,,8,7,Justin,,Tucker,1705440330585,9,1264,K,nfl,Active,BAL,,,12
1124840609828335617,3,,51,808950455362256896,9997,,7,7,Zay,,Flowers,1724343343714,4,9997,WR,nfl,Active,BAL,,,1
1124840609828335617,4,,52,562432915037523968,7553,,2,7,Kyle,,Pitts,1724344843292,8,7553,TE,nfl,Active,ATL,,,3
1124840609828335617,5,,53,,4066,,5,7,Evan,,Engram,1724511020580,17,4066,TE,nfl,Active,JAX,,,7
1124840609828335617,6,,54,999433102126546944,6804,,6,7,Jordan,,Love,1724518820947,10,6804,QB,nfl,Active,GB,,,4
1124840609828335617,7,,55,974106566116847616,4035,,4,7,Alvin,,Kamara,1724607632875,41,4035,RB,nfl,Active,NO,,,7
1124840609828335617,8,,56,990112455994994688,4950,,1,7,Christian,Questionable,Kirk,1724093146247,13,4950,WR,nfl,Active,JAX,,,6
1124840609828335617,8,,57,990112455994994688,5927,,1,8,Terry,,McLaurin,1724287534624,17,5927,WR,nfl,Active,WAS,,,5
1124840609828335617,7,,58,974106566116847616,4199,,4,8,Aaron,,Jones,1723914920214,33,4199,RB,nfl,Active,MIN,,,7
1124840609828335617,6,,59,999433102126546944,6790,,6,8,D'Andre,,Swift,1724385057865,4,6790,RB,nfl,Active,CHI,,,4
1124840609828335617,5,,60,,6801,,5,8,Tee,,Higgins,1724368255583,5,6801,WR,nfl,Active,CIN,,,4
1124840609828335617,4,,61,562432915037523968,9229,,2,8,Anthony,,Richardson,1724425207400,5,9229,QB,nfl,Active,IND,,,1
1124840609828335617,3,,62,808950455362256896,6770,,7,8,Joe,,Burrow,1724368255584,9,6770,QB,nfl,Active,CIN,,,4
1124840609828335617,2,,63,1128031061746831360,4137,,8,8,James,,Conner,1723843208403,6,4137,RB,nfl,Active,ARI,,,7
1124840609828335617,1,,64,999440800352219136,11632,,3,8,Malik,,Nabers,1723997736825,9,11632,WR,nfl,Active,NYG,,,0
1124840609828335617,1,,65,999440800352219136,2309,,3,9,Amari,,Cooper,1724546425277,2,2309,WR,nfl,Active,CLE,,,9
