player_id,full_name,team,position,adp
11575,Ray Davis,BUF,RB,149.0
7090,Darnell Mooney,ATL,WR,149.3
11589,Trey Benson,ARI,RB,150.3
11539,Jake Bates,DET,K,151.0
7021,Rico Dowdle,CAR,RB,151.0
11576,Braelon Allen,NYJ,RB,152.0
12522,Cameron Ward,TEN,QB,154.0
3214,Hunter Henry,NE,TE,154.7
BAL,Baltimore Ravens,BAL,DEF,155.3
6768,Tua Tagovailoa,MIA,QB,155.7
MIN,Minnesota Vikings,MIN,DEF,157.0
8676,Rashid Shaheed,NO,WR,157.0
12490,Bhayshul Tuten,JAX,RB,157.3
9494,Marvin Mims,DEN,WR,157.7
12509,Tre' Harris,LAC,WR,158.3
11559,Michael Penix,ATL,QB,159.3
1479,Keenan Allen,LAC,WR,159.7
12469,Dylan Sampson,CLE,RB,161.0
4950,Christian Kirk,HOU,WR,163.7
8132,Tyler Allgeier,ATL,RB,163.7
1339,Zach Ertz,WAS,TE,163.7
1426,DeAndre Hopkins,BAL,WR,164.0
3451,Ka'imi Fairbairn,HOU,K,165.0
7523,Trevor Lawrence,JAX,QB,165.0
11618,Jalen McMillan,TB,WR,166.0
12483,Jack Bech,LV,WR,168.7
HOU,Houston Texans,HOU,DEF,170.0
9228,Bryce Young,CAR,QB,170.0
11643,Jaylen Wright,MIA,RB,170.3
1945,Chris Boswell,PIT,K,170.7
7571,Rashod Bateman,BAL,WR,170.7
1373,Geno Smith,LV,QB,172.0
421,Matthew Stafford,LAR,QB,173.7
12547,Kyle Williams,NE,WR,173.7
1689,Adam Thielen,CAR,WR,174.0
KC,Kansas City Chiefs,KC,DEF,174.7
4943,Sam Darnold,SEA,QB,174.7
4098,Kareem Hunt,KC,RB,176.0
96,Aaron Rodgers,PIT,QB,176.7
9229,Anthony Richardson,IND,QB,181.3
8111,Cade Otton,TB,TE,181.3
DET,Detroit Lions,DET,DEF,184.0
8131,Isaiah Likely,BAL,TE,184.3
4227,Harrison Butker,KC,K,187.0
12521,Elijah Arroyo,SEA,TE,189.0
9480,Brenton Strange,JAX,TE,189.0
12524,Shedeur Sanders,CLE,QB,190.0
11586,Blake Corum,LAR,RB,190.0
BUF,Buffalo Bills,BUF,DEF,190.7
6650,Chase McLaughlin,TB,K,193.3
8210,Chig Okonkwo,TEN,TE,194.7
4993,Mike Gesicki,CIN,TE,195.7
7600,Pat Freiermuth,PIT,TE,197.0
SF,San Francisco 49ers,SF,DEF,198.0
2505,Darren Waller,MIA,TE,207.0
WAS,Washington Commanders,WAS,DEF,209.0
11786,Cam Little,JAX,K,216.7
3678,Wil Lutz,DEN,K,217.3
10444,Cedric Tillman,CLE,WR,175.0
11626,Xavier Legette,CAR,WR,176.0
7042,Tyler Bass,BUF,K,220.3
7839,Evan McPherson,CIN,K,221.0
4666,Younghoe Koo,ATL,K,222.7
TB,Tampa Bay Buccaneers,TB,DEF,223.3
12711,Tyler Loop,BAL,K,225.7
5995,Justice Hill,BAL,RB,189.0
7670,Joshua Palmer,BUF,WR,189.0
9501,DeMario Douglas,NE,WR,189.5
12534,Kyle Monangai,CHI,RB,190.0
12498,Mason Taylor,NYJ,TE,190.0
8126,Wan'Dale Robinson,NYG,WR,192.5
10235,Roschon Johnson,CHI,RB,192.5
NYG,New York Giants,NYG,DEF,230.7
4195,Jake Elliott,PHI,K,230.7
12474,Woody Marks,HOU,RB,194.0
LAR,Los Angeles Rams,LAR,DEF,234.0
8121,Romeo Doubs,GB,WR,199.5
9754,Quentin Johnston,LAC,WR,203.0
6151,Miles Sanders,DAL,RB,205.5
GB,Green Bay Packers,GB,DEF,238.7
SEA,Seattle Seahawks,SEA,DEF,246.3
12541,Dont'e Thornton,LV,WR,209.0
11569,Jarquez Hunter,LAR,RB,211.0
1433,Brandon McManus,GB,K,211.0
DAL,Dallas Cowboys,DAL,DEF,243.0
11577,Will Shipley,PHI,RB,213.5
12471,DJ Giddens,IND,RB,215.5
5119,Jason Sanders,MIA,K,245.3
5001,Dalton Schultz,HOU,TE,216.0
NE,New England Patriots,NE,DEF,246.0
12533,Jacory Croskey-Merritt,WAS,RB,218.5
12455,Brashard Smith,KC,RB,219.0
CHI,Chicago Bears,CHI,DEF,219.5
8142,Alec Pierce,IND,WR,220.0
NYJ,New York Jets,NYJ,DEF,249.7
MIA,Miami Dolphins,MIA,DEF,222.5
11581,MarShawn Lloyd,GB,RB,222.5
12543,Tahj Brooks,CIN,RB,226.5
1234,Russell Wilson,NYG,QB,227.5
5095,Daniel Carlson,LV,K,254.0
6083,Matt Gay,WAS,K,254.0
12492,Pat Bryant,DEN,WR,232.0
9511,Keaton Mitchell,BAL,RB,234.0
ARI,Arizona Cardinals,ARI,DEF,234.0
12505,Jalen Royals,KC,WR,236.5
11600,Ja'Tavion Sanders,CAR,TE,237.0
12545,Tyler Shough,NO,QB,237.5
5870,Daniel Jones,IND,QB,240.5
CIN,Cincinnati Bengals,CIN,DEF,243.5
19,Joe Flacco,CLE,QB,248.0
11792,Will Reichard,MIN,K,268.3
7561,Elijah Mitchell,KC,RB,249.0
12508,Jaxson Dart,NYG,QB,249.0
6826,Cole Kmet,CHI,TE,251.0
10937,Jake Moody,SF,K,257.0
2749,Raheem Mostert,LV,RB,251.5
12536,Jaylin Noel,HOU,WR,252.5
12476,Devin Neal,NO,RB,256.0
10232,Michael Wilson,ARI,WR,256.0
6149,Darius Slayton,NYG,WR,257.0
12487,Terrance Ferguson,LAR,TE,258.0
7587,Dyami Brown,JAX,WR,258.0
11789,Joshua Karty,LAR,K,259.5
12535,Isaac TeSlaa,DET,WR,260.0
